lag_hour,attention
-168,0.11327021
-167,0.065531336
-166,0.03378936
-165,0.015592489
-164,0.00607239
-163,0.0033681286
-162,0.0023693745
-161,0.004305245
-160,0.010672586
-159,0.011404732
-158,0.0010473911
-157,0.0001373275
-156,0.00014466741
-155,0.00015622254
-154,0.00014851458
-153,0.00014413832
-152,0.00016231187
-151,0.00017582928
-150,0.00022893201
-149,0.00027730706
-148,0.00043137264
-147,0.0014498443
-146,0.0067225858
-145,0.026144309
-144,0.027489176
-143,0.019353572
-142,0.013598101
-141,0.010253698
-140,0.0023665458
-139,0.0020988905
-138,0.0020546766
-137,0.0036507163
-136,0.008050909
-135,0.0067077465
-134,0.00067143835
-133,0.00011085409
-132,0.00013603625
-131,0.0001532305
-130,0.00015115652
-129,0.00013328668
-128,0.0001528771
-127,0.00018205403
-126,0.00027007394
-125,0.00044537458
-124,0.00050952524
-123,0.001738611
-122,0.0085909525
-121,0.03391029
-120,0.025651965
-119,0.015557396
-118,0.010953822
-117,0.0067382897
-116,0.0016029984
-115,0.0012623714
-114,0.0010773088
-113,0.0018953802
-112,0.0044712694
-111,0.0051332386
-110,0.0007126333
-109,0.00013100517
-108,0.00013187701
-107,0.0001421406
-106,0.00014079954
-105,0.00015898391
-104,0.00017203702
-103,0.00018770681
-102,0.0002638992
-101,0.00038390365
-100,0.00037807238
-99,0.0011026734
-98,0.005603133
-97,0.018603923
-96,0.01719559
-95,0.009138092
-94,0.0066838684
-93,0.004151074
-92,0.002067995
-91,0.0017907323
-90,0.0015846336
-89,0.0021736296
-88,0.0043394715
-87,0.0046125143
-86,0.0004874536
-85,9.6399395e-05
-84,0.0001351042
-83,0.00014201885
-82,0.00016561995
-81,0.00014398573
-80,0.00017921813
-79,0.00017639909
-78,0.00023408141
-77,0.00033582404
-76,0.0003813569
-75,0.00050658965
-74,0.0016426924
-73,0.0063518044
-72,0.0063066226
-71,0.0048815026
-70,0.003950933
-69,0.0033561485
-68,0.0077042966
-67,0.0062662605
-66,0.0052382858
-65,0.0056844186
-64,0.007801337
-63,0.007409592
-62,0.0017717155
-61,0.0002814358
-60,0.0001465835
-59,0.00015868303
-58,0.0002348228
-57,0.00040270796
-56,0.00058737776
-55,0.0009104421
-54,0.001245982
-53,0.0011942156
-52,0.0014372064
-51,0.0015905759
-50,0.0036440128
-49,0.010089892
-48,0.013955634
-47,0.015673669
-46,0.01539074
-45,0.012598033
-44,0.007871986
-43,0.0074121566
-42,0.006935358
-41,0.008337162
-40,0.011190627
-39,0.011372655
-38,0.004476545
-37,0.0014129009
-36,0.0009322167
-35,0.0009684082
-34,0.0010939584
-33,0.0017415199
-32,0.002380065
-31,0.0029923983
-30,0.0038356269
-29,0.003924846
-28,0.003971289
-27,0.0036043932
-26,0.0037828174
-25,0.005339883
-24,0.0071484284
-23,0.008215341
-22,0.008220089
-21,0.0070471633
-20,0.0077374093
-19,0.0063244225
-18,0.005022496
-17,0.006116444
-16,0.011154209
-15,0.011296923
-14,0.0015875709
-13,0.0002653671
-12,0.00022150305
-11,0.00029855256
-10,0.00031766552
-9,0.0004209651
-8,0.0006557805
-7,0.0008880624
-6,0.0016831254
-5,0.002227092
-4,0.0017335835
-3,0.0031683403
-2,0.014869528
-1,0.051390238
