epoch,train_loss,val_loss,seconds
1,0.6528767047752261,0.5808902659586498,8.777144432067871
2,0.5376203153770007,0.5611304236309869,8.607087850570679
3,0.5264688369803404,0.5494329141719001,8.704193830490112
4,0.5210314352474912,0.54773396892207,8.669706106185913
5,0.516260077191897,0.5444307646581105,8.659893274307251
6,0.5135086164736623,0.5430946690695626,8.670571088790894
7,0.5103437615002637,0.544068517429488,8.712480068206787
8,0.508842519440576,0.538711995950767,8.808140754699707
9,0.5074072400624839,0.5356355564934867,8.619865894317627
10,0.506188807531177,0.5359531651650157,8.479690074920654
11,0.5054435026271181,0.5322331551994596,8.481023788452148
12,0.504202330299697,0.5313239555273738,8.5571768283844
