epoch,train_loss,val_loss,seconds
1,0.5522120391067705,0.5129586777516774,69.1989996433258
2,0.36920218059891147,0.451868542603084,69.1232898235321
3,0.34020111811788456,0.423976868391037,69.30285263061523
4,0.324643904284427,0.4123799992459161,69.13400840759277
5,0.31581076854153683,0.40276117835726055,69.23857736587524
6,0.30904624085677296,0.40453081684453146,69.06451535224915
7,0.3036244621402339,0.39154880813189913,69.07450008392334
8,0.29973561512796504,0.3947963948760714,69.07856011390686
9,0.2967486190168481,0.39534992831093924,68.9800500869751
10,0.29421129258055434,0.4015543609857559,69.05676531791687
11,0.2916872564115022,0.3965479390961783,69.19675588607788
12,0.2892720827930852,0.3971491264445441,69.16867637634277
