epoch,train_loss,train_base_loss,train_net_loss,val_loss,val_base_loss,val_net_loss,seconds
1,1.078951536040557,0.980212896748593,0.9873864611512736,0.552216112613678,0.5313356518745422,0.2088046595454216,57.516284465789795
2,0.48280479311943053,0.46519400069588107,0.1761079236080772,0.5004131027630397,0.4795550895588739,0.20858010543244226,57.29759407043457
3,0.46252930101595424,0.44495629134931064,0.175730089764846,0.47936135104724337,0.4585693010262081,0.20792050446782792,57.44923996925354
4,0.4528081551978463,0.43520848405988594,0.17599670918364274,0.47699340539319174,0.45627851358481814,0.20714891701936722,57.445122957229614
5,0.44700234061793276,0.4294317085491984,0.17570632162847016,0.4667538638625826,0.4462500235864094,0.20503844214337213,57.369872093200684
6,0.43846906454939594,0.42115416526794436,0.17314899438305906,0.46317764478070395,0.4426965202604021,0.20481125797544206,57.41811227798462
7,0.43092823812836095,0.4137100320113333,0.1721820586606076,0.4583002094711576,0.43784452974796295,0.20455676317214966,57.397735595703125
8,0.42473914874227425,0.40758324296850906,0.17155904644414,0.4469146047319685,0.42678769145693096,0.20126913275037492,57.45954942703247
9,0.42093386273635064,0.40378312186190957,0.1715073935295406,0.45447888544627596,0.434240460395813,0.2023842888219016,57.44982147216797
10,0.41981363986667836,0.4026661305051101,0.17147507447945445,0.450944789818355,0.4306788870266506,0.2026590034365654,57.584537744522095
11,0.41650651191410265,0.3994248600382554,0.1708165146802601,0.4553384227412088,0.4352812277419226,0.20057188613074167,57.53007245063782
12,0.4146846846530312,0.3977054304198215,0.16979254139097114,0.4390793442726135,0.41921079584530424,0.19868549065930502,57.53832697868347
