epoch,train_loss,val_loss,seconds
1,0.5306287461205532,0.4917365291288921,69.07814645767212
2,0.3616601874953822,0.44906042303357807,69.10724759101868
3,0.3370425892503638,0.42179919140679495,69.04085373878479
4,0.32300082131436,0.4099895975419453,69.15828013420105
5,0.314204750562969,0.3996877244540623,69.24652290344238
6,0.3072843768094715,0.396345643060548,69.05765295028687
7,0.3021452408087881,0.3941126742533275,69.0628035068512
8,0.2982146539186176,0.39882898330688477,69.15544414520264
9,0.2958233096097645,0.3988952934741974,69.24807214736938
10,0.2936045295313785,0.3921952566930226,69.16436409950256
11,0.2908521874954826,0.39673611521720886,68.96565699577332
12,0.2892235241438213,0.3924536236694881,68.85180401802063
