epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,19,,2.819899320602417,,,,,
0,,39,,2.3719615936279297,,,,,
0,,59,,2.2654428482055664,,,,,
0,,79,,2.0677597522735596,,,,,
0,,99,,1.8785477876663208,,,,,
0,,119,,1.9960867166519165,,,,,
0,,139,,2.0207338333129883,,,,,
0,,159,,1.942365288734436,,,,,
0,,179,,1.9328876733779907,,,,,
0,,199,,2.003859519958496,,,,,
0,,219,,1.7451238632202148,,,,,
0,,239,,1.8694621324539185,,,,,
0,,259,,1.8711278438568115,,,,,
0,,279,,1.9862785339355469,,,,,
0,,299,,1.7047357559204102,,,,,
0,,319,,1.763284683227539,,,,,
0,,339,,1.846584439277649,,,,,
0,,359,,1.7786413431167603,,,,,
0,,379,,1.9382141828536987,,,,,
0,,399,,1.6432905197143555,,,,,
0,,419,,1.7181485891342163,,,,,
0,,439,,1.8730725049972534,,,,,
0,,459,,1.8167058229446411,,,,,
0,,479,,1.7505556344985962,,,,,
0,,499,,1.7129491567611694,,,,,
0,,519,,1.8352419137954712,,,,,
0,,539,,1.836581826210022,,,,,
0,,559,,1.6229954957962036,,,,,
0,,579,,1.7713364362716675,,,,,
0,,599,,1.802994728088379,,,,,
0,,619,,1.7928441762924194,,,,,
0,,639,,1.6769990921020508,,,,,
0,,659,,1.649267315864563,,,,,
0,,679,,1.797392725944519,,,,,
0,,699,,1.6639890670776367,,,,,
0,,719,,1.875188946723938,,,,,
0,,739,,1.7240082025527954,,,,,
0,,759,,1.9080804586410522,,,,,
0,,779,,1.676512360572815,,,,,
0,,799,,1.4966731071472168,,,,,
0,,819,,1.746191382408142,,,,,
0,,839,,1.718799114227295,,,,,
0,,859,,1.541678786277771,,,,,
0,,879,,1.6898669004440308,,,,,
0,,899,,1.6674083471298218,,,,,
0,,919,,1.6610517501831055,,,,,
0,,939,,1.7130826711654663,,,,,
0,,959,,1.762400507926941,,,,,
0,,979,,1.7632827758789062,,,,,
0,,999,,1.5976060628890991,,,,,
0,,1019,,1.745673656463623,,,,,
0,,1039,,1.6913295984268188,,,,,
0,,1059,,1.6220182180404663,,,,,
0,,1079,,1.7600916624069214,,,,,
0,,1099,,1.8566102981567383,,,,,
0,,1119,,1.7433899641036987,,,,,
0,,1139,,1.7679804563522339,,,,,
0,,1159,,1.6561431884765625,,,,,
0,,1179,,1.5896538496017456,,,,,
0,,1199,,1.5789655447006226,,,,,
0,,1219,,1.7897297143936157,,,,,
0,,1239,,1.7567287683486938,,,,,
0,,1259,,1.7898250818252563,,,,,
0,,1279,,1.5756868124008179,,,,,
0,,1299,,1.6606521606445312,,,,,
0,,1319,,1.7775349617004395,,,,,
0,,1339,,1.6074886322021484,,,,,
0,,1359,,1.746609091758728,,,,,
0,,1379,,1.7388782501220703,,,,,
0,,1399,,1.5916311740875244,,,,,
0,,1419,,1.7592941522598267,,,,,
0,,1439,,1.6637061834335327,,,,,
0,,1459,,1.684749960899353,,,,,
0,,1479,,1.633373737335205,,,,,
0,,1499,,1.692372441291809,,,,,
0,,1519,,1.7033697366714478,,,,,
0,,1539,,1.5559945106506348,,,,,
0,,1559,,1.7611204385757446,,,,,
0,,1579,,1.5963643789291382,,,,,
0,,1599,,1.7102112770080566,,,,,
0,,1619,,1.6462182998657227,,,,,
0,,1639,,1.574837327003479,,,,,
0,,1659,,1.8076342344284058,,,,,
0,,1679,,1.5247154235839844,,,,,
0,,1699,,1.717568039894104,,,,,
0,,1719,,1.792205572128296,,,,,
0,,1739,,1.744012475013733,,,,,
0,,1759,,1.654812216758728,,,,,
0,,1779,,1.6689761877059937,,,,,
0,,1799,,1.6976864337921143,,,,,
0,,1819,,1.7307162284851074,,,,,
0,,1839,,1.722745418548584,,,,,
0,,1859,,1.6285467147827148,,,,,
0,,1879,,1.7376346588134766,,,,,
0,,1899,,1.516870379447937,,,,,
0,,1919,,1.7579460144042969,,,,,
0,,1939,,1.6320377588272095,,,,,
0,,1959,,1.8056516647338867,,,,,
0,,1979,,1.6529418230056763,,,,,
0,,1999,,1.5755853652954102,,,,,
0,,2019,,1.5860190391540527,,,,,
0,,2039,,1.61656653881073,,,,,
0,,2059,,1.6922001838684082,,,,,
0,,2079,,1.5990005731582642,,,,,
0,,2099,,1.7045001983642578,,,,,
0,,2119,,1.5584650039672852,,,,,
0,,2139,,1.5984289646148682,,,,,
0,,2159,,1.5537487268447876,,,,,
0,,2179,,1.6803665161132812,,,,,
0,,2199,,1.5784506797790527,,,,,
0,,2219,,1.7229417562484741,,,,,
0,,2239,,1.6755450963974,,,,,
0,,2259,,1.4197582006454468,,,,,
0,,2279,,1.6514173746109009,,,,,
0,,2299,,1.4287153482437134,,,,,
0,,2319,,1.8020365238189697,,,,,
0,,2339,,1.5501766204833984,,,,,
0,,2359,,1.6740182638168335,,,,,
0,,2379,,1.5011581182479858,,,,,
0,,2399,,1.725906491279602,,,,,
0,,2419,,1.72787344455719,,,,,
0,,2439,,1.5380219221115112,,,,,
0,,2459,,1.6028023958206177,,,,,
0,,2479,,1.6815894842147827,,,,,
0,,2499,,1.5806423425674438,,,,,
0,,2519,,1.6246033906936646,,,,,
0,,2539,,1.785383701324463,,,,,
0,,2559,,1.771213173866272,,,,,
0,,2579,,1.5377482175827026,,,,,
0,,2599,,1.8023515939712524,,,,,
0,,2619,,1.7640596628189087,,,,,
0,,2639,,1.6923052072525024,,,,,
0,,2659,,1.677596092224121,,,,,
0,,2679,,1.708229660987854,,,,,
0,,2699,,1.5625742673873901,,,,,
0,,2719,,1.6785446405410767,,,,,
0,,2739,,1.5900897979736328,,,,,
