input_step,relative_hour_to_decision,attention_weight
1,-11,0.06676342137222607
2,-10,0.07460585644939073
3,-9,0.07810868169281247
4,-8,0.08045307885209944
5,-7,0.08190539343125777
6,-6,0.08081452825826355
7,-5,0.07980820924752431
8,-4,0.0807244310562635
9,-3,0.0839911000419896
10,-2,0.08890434731713508
11,-1,0.0963210613154249
12,0,0.10759989096561258
