group,importance
history,4.816131056528543e-05
time,2.1870184131898336e-05
poi,2.0856992111406153e-05
ride_type,1.6072595092648937e-05
static_station,1.1974119330960631e-05
weather,1.1208325077722633e-05
flow_inventory,6.960258482661479e-06
holiday,2.5977887580823926e-06
