epoch,train_loss,val_loss,seconds
1,0.6079157477930972,0.7195065873009818,69.68493294715881
2,0.5710093065312034,0.7183132597378322,69.58225297927856
3,0.5693710286366312,0.7187915955271039,69.43357276916504
4,0.5697594328930503,0.7172855181353432,69.58638596534729
5,0.5691406281370865,0.7185528789247785,69.62024450302124
6,0.5688345592272909,0.717231741973332,69.5063865184784
7,0.567992702597066,0.7184405965464455,69.36866521835327
8,0.5669370306165595,0.7163832613400051,69.47658085823059
9,0.5651378675511008,0.714965935264315,69.63694405555725
10,0.5613596006443626,0.7140622649874006,69.7532205581665
11,0.5572862254945855,0.7109517753124237,69.6753876209259
12,0.551126681189788,0.7124234225068774,69.58248353004456
