epoch,train_loss,val_loss,seconds
1,0.6234038682360398,0.5238307948623385,51.03223514556885
2,0.46652895996445104,0.4745489912373679,50.82934761047363
3,0.44887551445710033,0.4724590459040233,51.1479971408844
4,0.43963112203698407,0.4862050073487418,51.206228256225586
5,0.43179063012725427,0.458180770277977,51.25817894935608
6,0.4261830856925563,0.4466676882335118,51.250327587127686
7,0.4206728204300529,0.45459802023002077,51.186487913131714
8,0.4180547761289697,0.43361390275614603,50.988202810287476
9,0.41244280840221204,0.4321912271635873,51.048977851867676
10,0.4087526531595933,0.43137202305453165,51.1078085899353
11,0.40716539213531894,0.43857546150684357,50.87210440635681
12,0.40518531422866017,0.43434137957436697,51.005666732788086
