station_id,n_event_timestamps,total_departures,total_arrivals,annual_net_drift,min_relative_inventory,max_relative_inventory,initial_inventory_min,capacity_closed_form
6306.06,116979,58453,58535,82,-21,260,21,281
5235.05,60263,30026,30239,213,-56,220,56,276
5847.01,96661,48226,48440,214,-40,232,40,272
5484.09,79624,39709,39918,209,-27,238,27,265
6072.11,97635,48946,48694,-252,-255,6,255,261
6098.12,63781,31772,32010,238,0,254,0,254
6098.10,138660,69378,69286,-92,-103,150,103,253
5736.09,66169,33203,32967,-236,-244,2,244,246
5721.01,68915,34433,34488,55,-28,217,28,245
5938.11,67787,33908,33883,-25,-42,203,42,245
6064.08,95385,47611,47775,164,-42,200,42,242
6416.06,72866,36340,36529,189,-34,208,34,242
5626.15,79730,39894,39836,-58,-101,141,101,242
5880.02,98952,49393,49569,176,-19,221,19,240
6039.06,94822,47323,47507,184,-25,209,25,234
5297.02,93412,46740,46681,-59,-76,155,76,231
5382.07,88503,44186,44320,134,-74,157,74,231
6224.05,77771,38823,38950,127,-25,203,25,228
7453.01,71948,36075,35904,-171,-209,18,209,227
5445.02,84230,42182,42048,-134,-219,8,219,227
7116.04,65447,32822,32630,-192,-204,23,204,227
5863.07,81316,40752,40573,-179,-201,23,201,224
6584.12,69795,34924,34882,-42,-105,116,105,221
5303.06,101537,50751,50788,37,-125,94,125,219
5593.04,66381,33097,33287,190,-22,190,22,212
5561.06,92875,46351,46531,180,-8,203,8,211
4395.07,67829,33845,33990,145,-19,191,19,210
6464.09,72648,36411,36242,-169,-178,32,178,210
6224.03,90658,45266,45396,130,-41,167,41,208
5820.08,92196,46030,46171,141,-17,191,17,208
6030.06,83483,41729,41786,57,-4,202,4,206
6753.08,99620,49730,49894,164,-26,179,26,205
5653.12,63552,31811,31745,-66,-84,120,84,204
5636.11,79411,39619,39795,176,-19,184,19,203
5492.05,133859,66904,66981,77,-15,188,15,203
6089.07,82618,41395,41229,-166,-167,36,167,203
6030.04,55623,27753,27871,118,-15,180,15,195
5989.02,100238,50146,50103,-43,-58,136,58,194
6022.04,105818,52840,52979,139,-12,181,12,193
7059.08,90832,45458,45378,-80,-128,65,128,193
6233.05,84055,42026,42048,22,-90,95,90,185
6425.04,84182,42028,42157,129,-16,165,16,181
6331.01,130198,65143,65064,-79,-125,53,125,178
6322.01,82810,41484,41333,-151,-177,0,177,177
5382.06,89339,44626,44719,93,-62,114,62,176
7123.04,60638,30392,30246,-146,-166,9,166,175
5947.04,84038,42048,41995,-53,-172,2,172,174
6726.01,126070,63042,63040,-2,-135,38,135,173
6055.08,81082,40489,40598,109,-15,154,15,169
5561.04,77549,38712,38847,135,-14,151,14,165
5515.02,83450,41770,41683,-87,-150,10,150,160
6824.07,72988,36524,36469,-55,-70,88,70,158
7020.09,98683,49303,49389,86,-42,115,42,157
5184.08,130243,65102,65147,45,-30,127,30,157
6617.09,61876,30927,30954,27,-68,83,68,151
7059.01,67860,33980,33896,-84,-96,51,96,147
6526.05,112067,56036,56040,4,-91,53,91,144
7079.06,100921,50508,50430,-78,-109,34,109,143
5721.07,63868,31912,31959,47,-9,132,9,141
6230.04,74065,37011,37057,46,-42,99,42,141
6257.03,62394,31225,31174,-51,-91,47,91,138
5886.13,62965,31497,31473,-24,-53,80,53,133
6459.07,105350,52656,52708,52,-51,79,51,130
7212.05,82125,41084,41045,-39,-61,69,61,130
7161.08,68026,34032,34019,-13,-65,62,65,127
5001.08,70170,35050,35122,72,-11,112,11,123
5755.01,61425,30680,30746,66,-12,111,12,123
3651.04,66450,33181,33277,96,-3,118,3,121
6148.02,64415,32202,32216,14,-31,89,31,120
7323.09,84820,42440,42397,-43,-60,56,60,116
5746.14,73676,36811,36867,56,-29,85,29,114
5929.01,74848,37416,37437,21,-27,79,27,106
6717.06,103146,51563,51597,34,-14,91,14,105
6816.07,82017,41052,40969,-83,-91,12,91,103
6889.12,77303,38644,38664,20,-30,70,30,100
6215.04,94567,47276,47297,21,-48,51,48,99
6611.02,67987,34003,33985,-18,-80,16,80,96
5626.07,88076,44049,44031,-18,-58,38,58,96
6289.06,104972,52470,52508,38,-13,82,13,95
5914.03,62141,31070,31077,7,-33,47,33,80
6890.01,67175,33588,33589,1,-8,55,8,63
