epoch,train_loss,val_loss,seconds
1,0.5531390105423174,0.5157479516097477,69.42107701301575
2,0.36995894563825504,0.45290133357048035,69.41751337051392
3,0.3404601978628259,0.4229415974446705,69.51560020446777
4,0.32472981747828034,0.41130763718060087,69.52007007598877
5,0.316196072101593,0.4024882231439863,69.41142702102661
6,0.30951027838807355,0.4052311033010483,69.3611490726471
7,0.3040110070454447,0.3908916286059788,69.3712511062622
8,0.2999808182841853,0.3951830906527383,69.43272948265076
9,0.29697954780177066,0.39378426330430166,69.44661927223206
10,0.2943492240027378,0.4022768906184605,69.38562512397766
11,0.2918747660360838,0.3968250815357481,69.32574248313904
12,0.2894816075500689,0.3967591460262026,69.31954455375671
