epoch,train_loss,val_loss,seconds
1,0.5214710721844121,0.4665892166750772,77.2089524269104
2,0.3550857440421456,0.425158366560936,77.02094602584839
3,0.3293725995641006,0.4091910698584148,77.61087131500244
4,0.3166318739715375,0.3967099168470928,77.24068021774292
5,0.3075741472997163,0.39359502281461445,77.40927457809448
6,0.3012758521657241,0.3967542690890176,77.45163345336914
7,0.2962425442118394,0.3983814205442156,77.453533411026
8,0.2930474353464026,0.3954800473792212,77.37830758094788
9,0.2901902082719301,0.4006148598023823,77.35405611991882
10,0.2881573934304087,0.3969418853521347,77.32297658920288
