epoch,train_loss,train_base_loss,train_net_loss,val_loss,val_base_loss,val_net_loss,seconds
1,1.122897669202403,1.0621791369036624,0.607185318752339,0.5447921965803418,0.5239199655396598,0.2087223551103047,70.69760489463806
2,0.4784997460089232,0.4609625433620654,0.17537202882139305,0.48882338191781727,0.46798516384192873,0.20838220098188945,68.55139493942261
3,0.45546948972501256,0.43803034173814875,0.17439148410370475,0.47371329367160797,0.4531530439853668,0.20560251282794134,67.49233937263489
4,0.43657312204963283,0.41930574555146066,0.172673761844635,0.46118077848638805,0.4408842282635825,0.2029654894556318,69.04781460762024
5,0.4334751235811334,0.41630725829224835,0.1716786519477242,0.4597664943763188,0.43967968438352856,0.20086808609110968,68.97129702568054
6,0.424980701584565,0.40800152671964546,0.16979174253187682,0.4500081922326769,0.430063396692276,0.1994479830775942,70.78562593460083
7,0.4222948052381214,0.4053641858853792,0.1693061877238123,0.4565169449363436,0.43665544050080435,0.19861504009791783,69.20866537094116
8,0.4161254308725658,0.3992714329769737,0.16853997315231123,0.44452735994543346,0.4246381776673453,0.1988918206521443,70.74477100372314
9,0.412113840015311,0.3953545698994084,0.16759270304127744,0.4388887350048338,0.41921250947884153,0.1967622893197196,69.90857172012329
10,0.41026790957701836,0.39354530070957383,0.167226085851067,0.4451958281653268,0.4253666230610439,0.19829201591866358,68.53301858901978
11,0.4111331343650818,0.3944003591411992,0.16732775631703828,0.4386737793684006,0.4189648096050535,0.19708973382200515,69.032475233078
12,0.40749482449732327,0.39080770015716554,0.16687122159882595,0.4436773934534618,0.42401584344250814,0.19661550223827362,71.00707626342773
