epoch,train_loss,val_loss,seconds
1,0.8703422413758582,0.9681257345459678,85.57215332984924
2,0.6886362342934333,1.206610842184587,84.7151985168457
3,0.6389623988049192,1.1783942255106838,85.03295803070068
4,0.6368123541015605,0.9359433022412387,84.68789911270142
5,0.6642149781993546,1.0080963080579584,84.49987459182739
6,0.7448364165440904,0.8395240892063488,84.83360624313354
7,0.7639901503842539,0.8418858094648881,84.81817579269409
8,0.7657249262507674,0.8154085690324957,84.77033996582031
9,0.6838633040483085,0.7673792578957298,84.88251948356628
10,0.6072341587531005,0.6684860652143305,84.78239965438843
