epoch,train_loss,feature_loss,val_loss,seconds
1,0.7232316686571892,567786897.0236309,0.7487468569790392,213.14395427703857
2,0.5912180790063286,1530936337.6753926,0.5707480345414654,212.94063663482666
3,0.500407843416586,2458150639.6649213,0.5664102312636702,212.88209533691406
4,0.49314792138275676,3067087302.0314136,0.5520127930053292,212.87630534172058
5,0.5179702443953272,3407865884.984293,0.5209213972908177,212.8903670310974
6,0.49192078023446795,4580899182.575916,0.531411527906923,212.87626099586487
7,0.47420850259627345,6184465955.350785,0.514867043114144,212.88963723182678
8,0.4669977992929089,4860442143.664922,0.5062372972976127,212.87149691581726
9,0.4574006902570812,7323211061.612565,0.4932457061663066,212.89918541908264
10,0.4518161291812415,6785885296.586388,0.49080459167968193,212.8844211101532
11,0.4539880343561709,7564435777.005236,0.49529029980097733,212.9131054878235
12,0.4545728945373241,7523217676.062827,0.49470561361748333,212.86413097381592
