epoch,train_loss,val_loss,seconds
1,0.47801514840818093,0.4648004814316727,2501.0682275295258
2,0.440641143228417,0.4591986488162584,2500.582174539566
3,0.4323698534343151,0.46803870988329116,2500.5148661136627
4,0.42798508388505835,0.4455252723322428,2500.416881084442
5,0.42460196026382346,0.44803681034266196,2500.417193889618
6,0.42135822649311067,0.439676657097173,2500.169865131378
7,0.41977928556678534,0.4407868622914213,2500.3258504867554
8,0.4169578152631797,0.46942907431827513,2500.299932718277
9,0.4163671565830756,0.4333134304821696,2500.3628928661346
10,0.4152034686940767,0.44279210851501083,2500.287288427353
11,0.414199004318026,0.441249403040024,2500.216967821121
12,0.41354239700957585,0.4361278044330842,2500.472686290741
