epoch,train_loss,val_loss,seconds
1,0.5476040325666729,0.5060680487326213,69.82127499580383
2,0.36742379226182637,0.45147996715136934,69.40009260177612
3,0.3390992101870085,0.42372358058180126,69.55297875404358
4,0.3240330137704548,0.4132418079035623,69.70661544799805
5,0.3151359768290269,0.4050761099372591,69.51830291748047
6,0.3086945085149062,0.4078331696135657,69.5166232585907
7,0.3030751774185582,0.39460879990032743,69.52453279495239
8,0.2993973769639668,0.3975140154361725,69.50923228263855
9,0.2963870810834985,0.39458946670804707,69.57939434051514
10,0.2939660050367054,0.4005832565682275,69.82151222229004
11,0.2913430449209715,0.3961604961327144,69.73222303390503
12,0.2895705031721216,0.3943127670458385,69.61679315567017
