epoch,train_loss,val_loss,seconds
1,0.5236770131086048,0.4924018681049347,91.58647871017456
2,0.3595345465760482,0.4452018822942461,91.49179744720459
3,0.3339015709726434,0.4201376906463078,91.45275282859802
4,0.32053008173641406,0.4081111614193235,91.5008795261383
5,0.3122182259434148,0.40700699601854595,91.70430302619934
6,0.3049581932394128,0.3995607793331146,91.6629626750946
7,0.302349821517342,0.4003522161926542,91.86780595779419
8,0.2969305474507181,0.4012962877750397,91.94384217262268
9,0.29424094840099935,0.39426097699574064,91.9535071849823
10,0.29154435992240907,0.4023276226861136,91.8448486328125
11,0.28970225986681486,0.39558794030121397,91.59951400756836
12,0.28762645156759964,0.4032673729317529,91.54492616653442
