horizon,mae,mean_actual,mean_predicted,coverage
1,1.0895646222898545,1.605,0.9964452257181078,0.61
2,1.087588366727857,1.49,0.7505433436424821,0.485
3,0.9570994679717425,1.25,0.590193360753796,0.47
4,0.8114594903988476,0.87,0.2836109684680017,0.385
5,0.5731152761932345,0.575,0.010634669203692514,0.21
6,0.28013234282451027,0.28,0.0012232560263292505,0.045
