variable,importance
dep_count,28.152523
week_of_year,25.550049
day_of_month,19.52754
hour_cos,18.92731
month,14.774992
hour_sin,13.76999
dow_cos,13.666426
day_of_week,11.199487
net_flow,9.730295
hour,7.7305245
relative_time_idx,7.346785
dow_sin,6.041874
dep_classic_count,5.6421165
arr_electric_count,5.2600164
arr_count,4.3586864
dep_electric_count,3.262962
arr_classic_count,3.0814137
is_weekend,1.977007
