epoch,train_loss,val_loss,seconds
1,0.5728196881319347,0.5407926716974804,69.74052238464355
2,0.40852366058449996,0.4905160218477249,69.61722040176392
3,0.38044218232757165,0.4608706661633083,69.55397725105286
4,0.36393687034908095,0.45068132664476124,69.53164291381836
5,0.3535931191946331,0.4393341200692313,69.49830627441406
6,0.3473743448131963,0.43905743743692127,69.53834247589111
7,0.34120430695383175,0.43238261554922375,69.49509525299072
8,0.3369813765350141,0.4335694525923048,69.64159989356995
9,0.3336042284965515,0.4312076526028769,69.89734935760498
10,0.33091993080942256,0.44185383192130495,69.86027002334595
11,0.3282671081392389,0.4397137739828655,69.87852740287781
12,0.3257331032502024,0.4344906040600368,69.81116437911987
