epoch,train_loss,val_loss,seconds
1,0.5535277802693216,0.5162972744022097,68.48648643493652
2,0.3699638699230395,0.4523999648434775,68.43602180480957
3,0.3405189645917792,0.422609914626394,68.48673725128174
4,0.3247702043307455,0.4112899346011026,68.35267162322998
5,0.3162169745093898,0.40225572884082794,68.37018823623657
6,0.3094496799142737,0.40472412747996195,68.46126890182495
7,0.30401527003238077,0.39115754834243227,68.52825927734375
8,0.3002793330895273,0.3961156904697418,68.45805978775024
9,0.2971470120706056,0.3930529462439673,68.47461414337158
10,0.29433461866880717,0.4004957228899002,68.47102403640747
11,0.29194454895822625,0.3972512526171548,68.4736442565918
12,0.2897274668279447,0.39659686386585236,68.53298282623291
